Fixed cost,Gross revenue,Location number,Month,Number of products,Owned,Profit,Rental cost,State,Variable cost
9218156.69,48628171.02,1,1,4452,False,14765945.100000005,365880.0,TX,24278189.23
10587747.35,48107179.24,1,2,4452,False,12036707.48,365880.0,TX,25116844.41
10193873.77,64352278.29,1,3,4452,False,20089024.689999998,365880.0,TX,33703499.83
8764165.0,45943677.96,1,4,4452,False,12775913.490000002,365880.0,TX,24037719.47
8022116.43,32761434.98,1,5,4452,False,7941319.370000001,365880.0,TX,16432119.18
9763597.3,50677036.26,1,6,4452,False,14313764.589999992,365880.0,TX,26233794.37
8245679.54,28215465.22,1,7,4452,False,5146671.5600000005,365880.0,TX,14457234.12
7863853.69,38955413.84,1,8,4452,False,10981215.860000003,365880.0,TX,19744464.29
9067861.36,43602895.19,1,9,4452,False,12030950.319999997,365880.0,TX,22138203.51
9062239.73,52406102.98,1,10,4452,False,16731783.95,365880.0,TX,26246199.3
8447265.61,35787752.27,1,11,4452,False,8543711.480000004,365880.0,TX,18430895.18
11659020.22,55301461.38,1,12,4452,False,14727010.160000004,365880.0,TX,28549551.0
5700821.21,26297731.69,2,1,4502,False,6591054.57,65270.0,TX,13940585.91
5149798.01,29373940.73,2,2,4502,False,7746013.509999998,65270.0,TX,16412859.21
6439025.77,43106366.5,2,3,4502,False,12857748.620000005,65270.0,TX,23744322.11
6509449.94,27502430.13,2,4,4502,False,6747527.559999997,65270.0,TX,14180182.63
6195521.44,28234770.46,2,5,4502,False,6874183.74,65270.0,TX,15099795.28
7234173.47,38553934.1,2,6,4502,False,10390485.150000002,65270.0,TX,20864005.48
6187056.38,23334314.31,2,7,4502,False,4060392.619999999,65270.0,TX,13021595.31
5893215.38,26499772.89,2,8,4502,False,6730225.780000001,65270.0,TX,13811061.73
6054758.23,33323266.84,2,9,4502,False,8811622.099999998,65270.0,TX,18391616.51
5227811.96,23171373.46,2,10,4502,False,5522661.74,65270.0,TX,12355629.76
4711750.21,26668091.91,2,11,4502,False,6922376.119999999,65270.0,TX,14968695.58
7570566.79,29907019.69,2,12,4502,False,5332432.460000001,65270.0,TX,16938750.44
5605437.16,23332588.72,4,1,4481,False,5341869.789999999,141410.0,GA,12243871.77
5255228.12,15558905.34,4,2,4481,False,1620812.539999999,141410.0,GA,8541454.68
5711943.19,27300936.93,4,3,4481,False,4500394.849999998,141410.0,GA,16947188.89
4807294.93,16759221.11,4,4,4481,False,3098796.1999999993,141410.0,GA,8711719.98
5439381.79,23092744.75,4,5,4481,False,5532937.940000001,141410.0,GA,11979015.02
5554010.53,24204599.59,4,6,4481,False,5864746.8999999985,141410.0,GA,12644432.16
4918164.1,19974357.67,4,7,4481,False,4024249.2600000016,141410.0,GA,10890534.31
5083113.63,19239491.8,4,8,4481,False,3833151.2700000014,141410.0,GA,10181816.9
6072249.73,22183203.45,4,9,4481,False,3684180.6499999985,141410.0,GA,12285363.07
5034090.76,20018489.17,4,10,4481,False,4008823.990000002,141410.0,GA,10834164.42
4882187.67,21672025.7,4,11,4481,False,5522416.640000001,141410.0,GA,11126011.39
5740991.19,30647747.08,4,12,4481,False,7911108.769999996,141410.0,GA,16854237.12
2883262.61,11451647.88,5,1,4533,False,2275049.4800000014,74500.0,NJ,6218835.79
2375378.47,12156756.81,5,2,4533,False,3420303.55,74500.0,NJ,6286574.79
3947250.41,19439232.09,5,3,4533,False,4419993.719999999,74500.0,NJ,10997487.96
4113757.54,16831787.74,5,4,4533,False,3584671.59,74500.0,NJ,9058858.61
3737807.47,15261458.59,5,5,4533,False,2695221.6799999997,74500.0,NJ,8753929.44
4189016.04,17055867.09,5,6,4533,False,2850570.2200000007,74500.0,NJ,9941780.83
3324421.42,10392086.38,5,7,4533,False,1040190.580000001,74500.0,NJ,5952974.38
3348504.59,18649597.62,5,8,4533,False,5363875.540000001,74500.0,NJ,9862717.49
4302280.12,20003969.04,5,9,4533,False,4599060.659999998,74500.0,NJ,11028128.26
3938238.7,12289623.68,5,10,4533,False,1243548.4299999997,74500.0,NJ,7033336.55
3959781.22,16277414.37,5,11,4533,False,3854435.839999998,74500.0,NJ,8388697.31
4630797.65,19192152.2,5,12,4533,False,4254857.219999999,74500.0,NJ,10231997.33
2528592.92,11253764.51,6,1,4373,False,2589200.7699999996,32790.0,IL,6103180.82
2555647.38,8454515.124,6,2,4373,False,809411.2139999997,32790.0,IL,5056666.53
2742659.52,13806361.65,6,3,4373,False,3380810.6500000004,32790.0,IL,7650101.48
2455969.56,10191361.07,6,4,4373,False,2170277.16,32790.0,IL,5532324.35
2514113.38,10207892.08,6,5,4373,False,2661979.49,32790.0,IL,4999009.21
3257411.95,11061580.24,6,6,4373,False,1615958.9800000004,32790.0,IL,6155419.31
2609953.33,7313553.587,6,7,4373,False,528972.1170000001,32790.0,IL,4141838.14
2377090.11,8820313.181,6,8,4373,False,1543054.0110000009,32790.0,IL,4867379.06
3017377.42,6944378.405,6,9,4373,False,360566.90500000026,32790.0,IL,3533644.08
2404697.15,7032917.222,6,10,4373,False,472334.6820000005,32790.0,IL,4123095.39
2431254.3,8917148.898,6,11,4373,False,1208131.2980000004,32790.0,IL,5244973.3
3098986.99,13020644.4,6,12,4373,False,1456192.2799999993,32790.0,IL,8432675.13
5537765.49,21116136.18,7,1,4495,False,2754107.17,67410.0,IL,12756853.52
